#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"149, 194, 200",3,9,OPTIMAL,2916.88,2916.88,0.000%,Solution found optimally
2,"166, 179",2,4,OPTIMAL,2619.75,2619.75,0.000%,Solution found optimally
3,"119, 120, 146",3,9,OPTIMAL,2300.38,2300.38,0.000%,Solution found optimally
4,"-1, -2, -3",3,9,OPTIMAL,2818.90,2818.90,0.000%,Solution found optimally
5,"133, 171, 174",3,9,OPTIMAL,4285.76,4285.76,0.000%,Solution found optimally
6,"58, 94",2,4,OPTIMAL,960.07,960.07,0.000%,Solution found optimally
7,"22, 159",2,4,OPTIMAL,1418.94,1418.94,0.000%,Solution found optimally
8,"-1, -2, -3",3,9,OPTIMAL,1978.34,1978.34,0.000%,Solution found optimally
9,"101, 138, 195",3,9,OPTIMAL,2219.30,2219.30,0.000%,Solution found optimally
10,"-1, -2",2,4,OPTIMAL,2468.85,2468.85,0.000%,Solution found optimally
11,"-4, -5",2,4,OPTIMAL,1861.03,1861.03,0.000%,Solution found optimally
12,"-1, -2, -3",3,9,OPTIMAL,2942.98,2942.98,0.000%,Solution found optimally
13,"13, 49, 170",3,9,OPTIMAL,4208.82,4208.82,0.000%,Solution found optimally
14,"20, 80, 107",3,9,OPTIMAL,5974.71,5974.71,0.000%,Solution found optimally
15,"102, 115",2,4,OPTIMAL,4979.83,4979.83,0.000%,Solution found optimally
16,"181, 147, 86",3,9,OPTIMAL,6326.92,6326.92,0.000%,Solution found optimally
17,"-1, -2, -3, -4",4,16,OPTIMAL,6248.73,6248.73,0.000%,Solution found optimally
18,"2, 91, 105",3,9,OPTIMAL,2920.47,2920.47,0.000%,Solution found optimally
19,"157, 176",2,4,OPTIMAL,3263.93,3263.93,0.000%,Solution found optimally
20,"-1, -2, -3",3,9,OPTIMAL,3421.46,3421.46,0.000%,Solution found optimally
21,"163, 192",2,4,OPTIMAL,7764.01,7764.01,0.000%,Solution found optimally
22,"64, 79, 130",3,9,OPTIMAL,8219.05,8219.05,0.000%,Solution found optimally
23,"136, 172",2,4,OPTIMAL,7673.54,7673.54,0.000%,Solution found optimally
24,"-1, -2, -3",3,9,OPTIMAL,7455.24,7455.24,0.000%,Solution found optimally
25,"16, 77, 93",3,9,OPTIMAL,9559.73,9559.73,0.000%,Solution found optimally
26,"65, 182",2,4,OPTIMAL,7488.91,7488.91,0.000%,Solution found optimally
27,"43, 155, 173",3,9,OPTIMAL,8391.15,8391.15,0.000%,Solution found optimally
28,"-1, -2, -3, -4",4,16,OPTIMAL,8813.64,8813.64,0.000%,Solution found optimally
29,"125, 165",2,4,OPTIMAL,4300.72,4300.72,0.000%,Solution found optimally
30,"73, 124",2,4,OPTIMAL,4804.99,4804.99,0.000%,Solution found optimally
31,"-1, -2, -3",3,9,OPTIMAL,4126.83,4126.83,0.000%,Solution found optimally
32,"81, 121, 129",3,9,OPTIMAL,6986.00,6986.00,0.000%,Solution found optimally
33,"4, 132",2,4,OPTIMAL,5897.25,5897.25,0.000%,Solution found optimally
34,"92, 112, 160",3,9,OPTIMAL,6885.83,6885.83,0.000%,Solution found optimally
35,"26, 56, 108, 190",4,16,OPTIMAL,7134.15,7134.15,0.000%,Solution found optimally
36,"-1, -3",2,4,OPTIMAL,4927.89,4927.89,0.000%,Solution found optimally
37,"-2, -5",2,4,OPTIMAL,5874.26,5874.26,0.000%,Solution found optimally
38,"-1, -2, -3",3,9,OPTIMAL,6240.28,6240.28,0.000%,Solution found optimally
39,"5, 63",2,4,OPTIMAL,13064.15,13064.15,0.000%,Solution found optimally
40,"53, 82, 151",3,9,OPTIMAL,9642.58,9642.58,0.000%,Solution found optimally
41,"67, 97, 99, 158",4,16,OPTIMAL,11068.37,11068.37,0.000%,Solution found optimally
42,"-1, -2, -3",3,9,OPTIMAL,11962.58,11962.58,0.000%,Solution found optimally
43,"96, 110",2,4,OPTIMAL,4775.92,4775.92,0.000%,Solution found optimally
44,"9, 90, 191",3,9,OPTIMAL,3955.68,3955.68,0.000%,Solution found optimally
45,"148, 169",2,4,OPTIMAL,5280.36,5280.36,0.000%,Solution found optimally
46,"61, 126",2,4,OPTIMAL,5430.62,5430.62,0.000%,Solution found optimally
47,"15, 18",2,4,OPTIMAL,5069.19,5069.19,0.000%,Solution found optimally
48,"-1, -2, -3",3,9,OPTIMAL,4938.01,4938.01,0.000%,Solution found optimally
49,"40, 50, 193",3,9,OPTIMAL,4618.02,4618.02,0.000%,Solution found optimally
50,"-1, -2, -3, -4",4,16,OPTIMAL,5122.19,5122.19,0.000%,Solution found optimally
51,"55, 106",2,4,OPTIMAL,6408.01,6408.01,0.000%,Solution found optimally
52,"8, 11",2,4,OPTIMAL,6069.32,6069.32,0.000%,Solution found optimally
53,"-1, -2, -3",3,9,OPTIMAL,6528.41,6528.41,0.000%,Solution found optimally
54,"84, 143",2,4,OPTIMAL,6347.57,6347.57,0.000%,Solution found optimally
55,"3, 48, 74",3,9,OPTIMAL,6825.69,6825.69,0.000%,Solution found optimally
56,"-1, -2, -3",3,9,OPTIMAL,7452.75,7452.75,0.000%,Solution found optimally
57,"78, 116, 162",3,9,OPTIMAL,7622.88,7622.88,0.000%,Solution found optimally
58,"175, 177",2,4,OPTIMAL,8275.67,8275.67,0.000%,Solution found optimally
59,"-1, -2, -3, -4",4,16,OPTIMAL,8360.37,8360.37,0.000%,Solution found optimally
60,"38, 39, 164, 196",4,16,OPTIMAL,13810.44,13810.44,0.000%,Solution found optimally
61,"76, 131, 154",3,9,OPTIMAL,13118.03,13118.03,0.000%,Solution found optimally
62,"87, 150, 185",3,9,OPTIMAL,11120.82,11120.82,0.000%,Solution found optimally
63,"68, 140, 168",3,9,OPTIMAL,11472.26,11472.26,0.000%,Solution found optimally
64,"-1, -2, -3",3,9,OPTIMAL,10809.26,10809.26,0.000%,Solution found optimally
65,"-1, -2, -3, -4",4,16,OPTIMAL,12657.90,12657.90,0.000%,Solution found optimally
66,"113, 186",2,4,OPTIMAL,8991.91,8991.91,0.000%,Solution found optimally
67,"42, 122, 161",3,9,OPTIMAL,13010.04,13010.04,0.000%,Solution found optimally
68,"44, 142, 188",3,9,OPTIMAL,10021.42,10021.42,0.000%,Solution found optimally
69,"-1, -2, -3",3,9,OPTIMAL,10791.10,10791.10,0.000%,Solution found optimally
70,"104, 117, 139",3,9,OPTIMAL,4928.99,4928.99,0.000%,Solution found optimally
71,"88, 127, 134, 187",4,16,OPTIMAL,6844.86,6844.86,0.000%,Solution found optimally
72,"23, 32, 153, 198",4,16,OPTIMAL,6609.81,6609.81,0.000%,Solution found optimally
73,"14, 17, 123",3,9,OPTIMAL,5146.78,5146.78,0.000%,Solution found optimally
74,"36, 45, 72, 89",4,16,OPTIMAL,4817.29,4817.29,0.000%,Solution found optimally
75,"-4, -5",2,4,OPTIMAL,4583.67,4583.67,0.000%,Solution found optimally
76,"-2, -3",2,4,OPTIMAL,5985.08,5985.08,0.000%,Solution found optimally
77,"-1, -2, -3",3,9,OPTIMAL,6043.64,6043.64,0.000%,Solution found optimally
78,"69, 197",2,4,OPTIMAL,3208.68,3208.68,0.000%,Solution found optimally
79,"7, 27, 37, 135",4,16,OPTIMAL,5228.49,5228.49,0.000%,Solution found optimally
80,"52, 189",2,4,OPTIMAL,1981.08,1981.08,0.000%,Solution found optimally
81,"31, 152",2,4,OPTIMAL,2704.30,2704.30,0.000%,Solution found optimally
82,"-1, -2, -3",3,9,OPTIMAL,3031.92,3031.92,0.000%,Solution found optimally
83,"25, 83, 109, 145",4,16,OPTIMAL,3676.65,3676.65,0.000%,Solution found optimally
84,"180, 199",2,4,OPTIMAL,792.00,792.00,0.000%,Solution found optimally
85,"-2, -4",2,4,OPTIMAL,3245.78,3245.78,0.000%,Solution found optimally
86,"-1, -3",2,4,OPTIMAL,3005.12,3005.12,0.000%,Solution found optimally
87,"-1, -2, -3",3,9,OPTIMAL,3549.47,3549.47,0.000%,Solution found optimally
88,"70, 95",2,4,OPTIMAL,4420.26,4420.26,0.000%,Solution found optimally
89,"10, 34, 62, 178",4,16,OPTIMAL,4798.68,4798.68,0.000%,Solution found optimally
90,"24, 29, 60, 128",4,16,OPTIMAL,3021.64,3021.64,0.000%,Solution found optimally
91,"6, 46",2,4,OPTIMAL,3208.55,3208.55,0.000%,Solution found optimally
92,"54, 111",2,4,OPTIMAL,3644.20,3644.20,0.000%,Solution found optimally
93,"-1, -2, -3",3,9,OPTIMAL,3445.80,3445.80,0.000%,Solution found optimally
94,"-1, -2, -3, -4",4,16,OPTIMAL,4697.63,4697.63,0.000%,Solution found optimally
95,"66, 71",2,4,OPTIMAL,7280.38,7280.38,0.000%,Solution found optimally
96,"1, 19, 21, 33",4,16,OPTIMAL,7858.68,7858.68,0.000%,Solution found optimally
97,"-1, -2, -3",3,9,OPTIMAL,7534.67,7534.67,0.000%,Solution found optimally
98,"118, 183",2,4,OPTIMAL,6502.33,6502.33,0.000%,Solution found optimally
99,"47, 75",2,4,OPTIMAL,5830.91,5830.91,0.000%,Solution found optimally
100,"12, 156",2,4,OPTIMAL,5352.24,5352.24,0.000%,Solution found optimally
101,"98, 114",2,4,OPTIMAL,5032.45,5032.45,0.000%,Solution found optimally
102,"-1, -2, -3",3,9,OPTIMAL,5321.82,5321.82,0.000%,Solution found optimally
103,"30, 59, 85",3,9,OPTIMAL,6357.85,6357.85,0.000%,Solution found optimally
104,"-1, -2, -3, -4",4,16,OPTIMAL,6899.50,6899.50,0.000%,Solution found optimally
105,"-4, -5, -7, -15",4,20,OPTIMAL,12336.56,12336.56,0.000%,Solution found optimally
106,"-1, -3, -12, -13",4,20,OPTIMAL,6124.90,6124.90,-0.000%,Solution found optimally
107,"-10, -11, -14",3,9,OPTIMAL,9338.82,9338.82,0.000%,Solution found optimally
108,"-2, -6, -8, -9",4,20,OPTIMAL,17807.06,17807.06,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,108,100.0%
Optimal Solutions,108,100.0%
Feasible Solutions,0,0.0%
No Valid Solution,0,0.0%
